track_id,name,album,artist,release_date,length,popularity,acousticness,danceability,energy,instrumentalness,liveness,loudness,speechiness,tempo,time_signature
0BQW5N0eR3GAJtMBwScrl7,Can't We,Mantra,Tyde,2021-04-30,235213,17,0.762,0.751,0.387,0.853,0.105,-11.283,0.113,84.025,4
5nIAEnPy07UOs72COO9Imt,Work,Work,Bohkeh,2020-12-14,149052,19,0.244,0.624,0.508,0.872,0.395,-3.748,0.224,95.283,4
1v164PYfudygCnpDqhMahV,gold dust,missed calls,53 Thieves,2020-11-20,230117,34,0.166,0.673,0.435,0.0448,0.0467,-14.09,0.0704,85.055,4
3f9Mzvd3URfbbIJBX4pz9Z,Phone Numbers,Phone Numbers,Dominic Fike,2019-07-04,146826,75,0.239,0.884,0.539,0.0,0.0805,-6.389,0.208,85.008,4
6w2WWyBAOXQeP6waVT9s5O,Deep End,Deep End,BenjiFlow,2018-10-30,202360,47,0.146,0.533,0.622,0.114,0.118,-5.77,0.072,99.93,4
71ySrfAppuaI2p873viZJl,Golden,GOLD,Le Mav,2019-12-13,149153,29,0.284,0.64,0.626,0.0,0.178,-8.674,0.216,98.01,4
4p8Hbw6wPv0u0w7LFj8n78,Lemonade,Lemonade,Ria Sean,2021-05-27,154932,51,0.157,0.843,0.406,0.543,0.248,-7.073,0.124,93.026,4
54I1dC6Ux5I4h7U44DmjgK,Coconut Water,Coconut Water,Nia Sultana,2019-09-12,180705,46,0.0876,0.724,0.432,3.22e-05,0.0828,-9.945,0.203,84.992,4
1LeWbMBUT2sr141p8sJZro,Jo,Rave & Roses,Rema,2022-03-25,187562,40,0.463,0.507,0.774,0.00125,0.281,-5.326,0.113,138.117,5
7ycZN2o5PMNuTkUg2Q73wN,Wide Open (feat. Ta-ku & Masego) - Cabu & Ta-ku Remix,Wide Open (feat. Ta-ku & Masego) [Cabu & Ta-ku Remix],Various Artists,2021-09-17,178742,46,0.0872,0.73,0.555,0.000492,0.143,-7.874,0.106,100.007,4
75DQsEq5OU4QkQFOVIFk4C,Strawberry Moon,Strawberry Moon,J Warner,2019-06-28,204896,17,0.837,0.43,0.287,0.0305,0.115,-13.719,0.211,207.585,4
0cj7s0kGaVmFPWP898eTbx,Angele Ni Fie,Fufu & Grits,Juls,2020-05-28,202434,42,0.19,0.801,0.664,0.779,0.0697,-9.627,0.0422,114.986,4
7xAE36UUNgyDJDIM4yiucY,Be Your Girl (Kaytranada Edition),Be Your Girl (Kaytranada Edition),Teedra Moses,2018-05-04,268087,71,0.214,0.866,0.679,4.8e-06,0.101,-6.74,0.388,115.015,4
319xYgRF9JFpGLTtiCDhC7,Trouble,Pioneers,DRB Lasgidi,2020-05-01,194594,60,0.0194,0.825,0.738,0.0,0.294,-5.612,0.166,110.906,4
3KrVFrFJbPhdjfmc8EmBVa,Beat of Africa,The Healers: The Last Chapter,Black Motion,2020-09-24,413000,22,0.0608,0.74,0.703,0.821,0.307,-7.055,0.0807,99.961,4
2NxhengOMMBHTiayIlrYB7,Always With Me,Always With Me,Nobuhle,2020-06-16,284898,18,0.0122,0.648,0.616,0.0269,0.0902,-8.148,0.0341,106.023,4
1ePHqUkosKq7ZgQMz655Cw,Heat,GOLD,Le Mav,2019-12-13,200940,41,0.69,0.714,0.482,2.01e-05,0.266,-6.884,0.0736,97.044,4
0dFdGPVLs3k0z9ezYWZzUa,Intimidated (feat. H.E.R.),Intimidated,KAYTRANADA,2021-11-19,207840,75,0.0167,0.738,0.75,0.00976,0.174,-3.654,0.219,112.009,4
1lFz7QPoxqBdUV4iugS3MX,The Light,Wonder Where We Land,SBTRKT,2014-09-29,186436,40,0.14,0.663,0.42,0.0161,0.111,-11.616,0.0455,122.026,4
7vBEx9HgiEJDMwougw5bsa,Honey - Medasin Remix,Honey Remixed,KUČKA,2016-04-06,230958,56,0.722,0.447,0.715,0.000145,0.128,-6.616,0.495,98.015,4
5qcwzdhDQjHjmu12gOLjY0,You,Pronounced McGee,Mk.gee,2018-05-18,310597,53,0.526,0.808,0.657,0.00444,0.075,-6.67,0.298,88.932,4
328rLNs6WQPOlFSPpIUy7E,Heavenly Mother,Lost In June - EP,Pip Millett,2020-04-10,239767,57,0.14,0.871,0.397,0.0196,0.0681,-7.872,0.394,88.167,4
6RQ0i7rApnnWSI8uEiGVVF,Why Don't You,Rose in the Dark,Cleo Sol,2020-03-27,228990,66,0.136,0.43,0.592,0.0905,0.112,-7.55,0.15,54.585,4
4SBVWkRIMJ6WBCYPvr5Bwr,Make It Better (feat. Smokey Robinson),Ventura,Anderson .Paak,2019-04-12,219332,66,0.0112,0.676,0.56,0.00403,0.137,-6.024,0.0643,178.555,4
5jATtrFA8ToejRtQqoS5fi,All for You,All for You,Wade,2018-04-03,198832,46,0.316,0.437,0.379,0.553,0.0986,-13.439,0.341,172.929,4
5GjisoOfsN8qagrax01T4y,Wanna Be,Hive Mind,The Internet,2018-07-20,267400,51,0.0674,0.875,0.41,0.0374,0.106,-6.29,0.0571,87.999,4
1zwZ26A7OA5wTrA3FejCLL,Monalisa,LV N ATTN,Lojay,2021-06-04,213991,67,0.0813,0.827,0.705,0.00556,0.102,-6.756,0.0429,113.006,4
5tkR9JkBj3Ueeo8W4k8IZD,Queen Tings,Lady Lady,Masego,2018-09-07,188053,64,0.598,0.818,0.461,0.000135,0.108,-6.475,0.292,88.006,4
07hRkwrgPOZwugVBna4JTv,WASTING MY TIME (feat. Zilo),GEMS IN THE CORNERSTORE,Elujay,2020-12-03,175767,45,0.423,0.46,0.378,0.000731,0.104,-10.1,0.0708,76.408,4
0Lgk4pD3Y0iE9w2xDilhjj,Spread Too Thin (feat. Lindsay Olsen),Manj,Joomanji,2013-02-01,285669,49,0.728,0.405,0.456,0.6,0.375,-9.498,0.157,87.721,4
5MChi9fdCbTIWDJPPUuuW6,Beautiful Escape,Beat Tape 2,Tom Misch,2015-08-28,276785,64,0.0684,0.944,0.514,0.00209,0.103,-7.895,0.195,120.004,4
19FcrKMpCp4bZOxcPkTMsZ,Sparky,Mandy & The Jungle,Cruel Santino,2019-05-17,144000,49,0.851,0.666,0.42,0.534,0.11,-6.699,0.0829,133.015,5
4jFkHxFXHC0mJVZm7QwK6C,Feel It Still - Medasin Remix,Feel It Still (The Remixes),Portugal. The Man,2017-11-03,194434,42,0.553,0.568,0.463,0.00114,0.0858,-10.622,0.262,157.686,4
0MURF0yjHOChxkrlUrLQWk,Maria,Mandy & The Jungle,Cruel Santino,2019-05-17,134000,40,0.456,0.66,0.689,0.000381,0.0886,-5.063,0.151,194.056,4
26AI33STXsKwtuV9hmzDPG,star signs,rare.,Odunsi (The Engine),2018-10-12,179852,47,0.367,0.543,0.739,0.199,0.121,-6.008,0.0623,199.974,4
5g6uznSOJ446jA1UZ76D69,Marry Me - Edit,Marry Me (Edit) (feat. Msaki),Black Motion,2020-08-28,287901,19,0.22,0.671,0.873,0.338,0.0932,-6.915,0.0583,114.937,4
7BBPfDLjooHAEAQiIOz8HI,I Rise - Radio Edit,I Rise (Radio Edit) (feat. Msaki),Black Motion,2019-06-21,236170,31,0.024,0.753,0.747,0.0388,0.176,-8.66,0.0523,125.012,4
3JpoM324kjnJDrjCXTFiqP,Yes You Do,Re Mmino,Prince Kaybee,2019-03-08,346310,21,0.00227,0.841,0.535,0.237,0.0943,-9.137,0.067,123.025,4
4dAJrbncWn7odU6KKwkZGV,Angelina,Colour,Juls,2019-07-26,212623,42,0.0242,0.66,0.618,1.33e-06,0.121,-7.632,0.149,102.657,4
3PFaFVWq5wucLu6s4baj9D,Girl (feat. KAYTRANADA),Ego Death,The Internet,2015-06-26,415613,69,0.536,0.568,0.42,0.124,0.101,-11.169,0.276,79.89,4
67sHZvyNVEP6JIpiCJznsZ,Sweet Holy Honey,In The Comfort Of,Sango,2018-03-16,225296,41,0.61,0.623,0.475,0.00264,0.265,-10.06,0.0735,145.027,4
1AQtWYUKvPw5wYThfi5Uyo,Baby,Soulection White Label - Monte Booker,monte booker,2016-06-29,186647,37,0.0371,0.883,0.385,0.000223,0.284,-13.965,0.252,120.94,4
4IOYk6epkzXT38U4ShauZ6,Kolors,Soulection White Label - Monte Booker,monte booker,2016-06-29,177855,57,0.263,0.718,0.403,1.56e-06,0.228,-11.064,0.205,129.582,4
1Z6u99PTG9w2t4mcIGoqqS,You and Me,Souls,Shallou,2018-04-27,234239,53,0.285,0.648,0.559,0.103,0.116,-8.424,0.128,113.054,4
1MD2yGSeBRALkMui1fZ05P,anemone,fabulist,slenderbodies,2017-04-12,228061,60,0.884,0.854,0.631,0.00999,0.202,-8.197,0.0452,119.986,4
60y3oBiHHIlOzUFZRWP6Ak,DYSFUNCTIONAL,DYSFUNCTIONAL,KAYTRANADA,2019-04-10,240757,55,0.00113,0.808,0.805,0.0585,0.193,-3.392,0.103,107.965,4
7tk9ZylxkJReNIavPPhqzj,Suzanna,Suzanna,Sauti Sol,2020-02-07,231176,42,0.329,0.796,0.786,2.88e-06,0.102,-5.702,0.049,101.996,4
7blHE1ssculA05pENkKaoZ,body count,EVERYTHING YOU HEARD IS TRUE,Odunsi (The Engine),2020-05-13,151486,46,0.0202,0.92,0.605,0.00441,0.147,-6.873,0.19,97.005,4
3z7BTaXr5U273eXviBVcuy,When It's Over,Amber Olivier,Amber Olivier,2018-02-16,147100,35,0.538,0.73,0.599,0.00774,0.153,-5.764,0.127,92.035,4
1RHFgbaMxkM3dVYHBrg7Me,Rapid Fire,Mandy & The Jungle,Cruel Santino,2019-05-17,192000,52,0.857,0.789,0.617,0.0248,0.111,-6.007,0.0934,90.082,4
1VFr2wpUYKHrB0my1myhTJ,Go Outside,Free,Nonso Amadi,2019-08-09,193893,31,0.59,0.729,0.53,1.01e-06,0.0825,-6.644,0.133,106.795,4
03JO5cdd662kYtWibDsFg8,Work 'N' Grind,CITIZEN OF THE WORLD,King Perryy,2021-04-28,202500,38,0.224,0.772,0.584,0.00287,0.0904,-6.179,0.102,95.951,4
70kcyUtKiW35JxLa1hnwSJ,Show Your Color,Serenade,Funbi,2018-11-04,197326,34,0.664,0.726,0.348,0.000245,0.164,-7.737,0.13,102.013,4
4juCGGRuzfvZGlu1D2FvzJ,Ala,Ala,Solidstar,2020-02-21,166635,19,0.0377,0.639,0.713,0.00404,0.148,-3.837,0.0716,188.127,4
319xYgRF9JFpGLTtiCDhC7,Trouble,Pioneers,DRB Lasgidi,2020-05-01,194594,60,0.0194,0.825,0.738,0.0,0.294,-5.612,0.166,110.906,4
42KrZrk0IG0zFPzVkRNqh0,These Days,These Days,Tems,2020-05-19,172000,61,0.716,0.536,0.51,1.2e-05,0.0964,-8.809,0.152,159.965,4
5EIVA0ZDr605FzZpnskzBc,Tropicana Fruit Juice,Late Night Vibrations,Ycee,2018-02-01,245874,49,0.416,0.821,0.38,2.53e-05,0.0952,-7.989,0.0502,95.004,4
1ePHqUkosKq7ZgQMz655Cw,Heat,GOLD,Le Mav,2019-12-13,200940,41,0.69,0.714,0.482,2.01e-05,0.266,-6.884,0.0736,97.044,4
5NT67c2bpzilrBSc73JEoc,wys?,Insert Project Name,AYLØ,2017-09-22,165333,48,0.578,0.924,0.579,0.000808,0.0859,-8.115,0.429,120.055,3
2xevjnP2BeD0EdqpkrDHZT,Gyrate!,Gyrate!,GJtheCaesar,2020-05-10,191555,32,0.18,0.75,0.739,0.000474,0.129,-7.039,0.229,104.007,4
19FcrKMpCp4bZOxcPkTMsZ,Sparky,Mandy & The Jungle,Cruel Santino,2019-05-17,144000,49,0.851,0.666,0.42,0.534,0.11,-6.699,0.0829,133.015,5
6gHUiXF4BiJ9d7biTNmdKR,The Mood,Chulo Vibes,Timaya,2019-02-08,161684,62,0.307,0.607,0.586,1.51e-06,0.287,-5.698,0.15,126.715,5
6AxDznMdamFBbRw8LAGWQd,Feel Free - Blue Canariñho Remix,Feel Free (Blue Canariñho Remix),CassKidd,2020-09-11,192428,42,0.185,0.815,0.767,0.00675,0.109,-5.011,0.135,140.009,4
4e0nFC5a95gFWJUzrQ8ggy,THIS SH!T,THIS SH!T,AYLØ,2020-05-01,170217,48,0.649,0.67,0.614,0.00579,0.119,-7.623,0.3,183.851,4
6l5WDlZzjAXWEA47969TXI,Soweto Blues,Soweto Blues,Juls,2020-03-27,298997,53,0.00167,0.863,0.449,0.0235,0.0585,-12.521,0.0622,112.043,4
5JayOLFuofunaBCIjissQL,Dangerous Love,Dangerous Love,Tiwa Savage,2020-07-08,194586,39,0.153,0.583,0.776,1.08e-06,0.136,-5.102,0.121,193.936,4
26AI33STXsKwtuV9hmzDPG,star signs,rare.,Odunsi (The Engine),2018-10-12,179852,47,0.367,0.543,0.739,0.199,0.121,-6.008,0.0623,199.974,4
0BVaNH5prNNveWy81VIC6S,Maluco,Da Rocinha 2,Sango,2014-01-23,243367,44,0.0544,0.89,0.758,0.00454,0.123,-7.987,0.23,143.97,4
5lF0OJHp09PfZofnC9ZrBH,'00 Nostalgia,Mango Juice & Bad Decisions,Ayüü,2018-10-02,161828,47,0.555,0.561,0.307,0.00663,0.127,-13.394,0.283,95.035,4
2PyJgiGTC2jhNkqtPBwHsv,Raw Dinner,Mandy & The Jungle,Cruel Santino,2019-05-17,143569,43,0.714,0.603,0.433,0.0407,0.105,-5.935,0.338,63.545,5
3teVlSIOsmB9HYbOHqAKRV,GHOST TOWN,AFROSOUL,WurlD,2020-05-15,197327,37,0.394,0.698,0.609,0.00292,0.678,-5.658,0.208,79.028,4
1wfIqsTXmMVtZxYk8uWxGa,AWAY,AWAY,Oxlade,2020-03-27,164571,62,0.23,0.726,0.71,0.302,0.0922,-8.316,0.191,104.83,4
3owm3LW9jSaF0UjULZvGJw,Tropicana,Palmwine Music 2,Show Dem Camp,2018-10-15,255157,49,0.454,0.79,0.631,9.07e-05,0.167,-8.557,0.25,95.005,4
3hr4lwTXMCFKIH5KOSoXQ5,Alakori,Alakori,Falz,2019-06-07,215700,44,0.497,0.856,0.649,0.00191,0.17,-4.679,0.213,99.969,4
6MzjLOHzkqoi7667ysz41k,Koroba,Koroba,Tiwa Savage,2020-08-06,156454,49,0.358,0.85,0.645,1.12e-05,0.09,-6.302,0.0611,104.022,4
6VeC3aMLLOoSIR4UZ0d0hc,GOLD BUDDHA (feat. Foggieraw),GEMS IN THE CORNERSTORE,Elujay,2020-12-03,241081,29,0.129,0.776,0.57,0.000411,0.113,-9.454,0.298,143.992,4
6rB1KkvMlXl5hPB7EbTWw5,Wetin Dey,Better Days / Wetin Dey,Odunsi (The Engine),2019-08-09,146447,47,0.086,0.733,0.757,0.000596,0.096,-5.141,0.114,192.001,4
7Moq2DLFyS8e1IVl35nAR3,Make Sense,After Dark,Skillz 8figure,2021-03-10,176400,18,0.421,0.584,0.762,0.609,0.0871,-7.289,0.101,199.988,4
0MURF0yjHOChxkrlUrLQWk,Maria,Mandy & The Jungle,Cruel Santino,2019-05-17,134000,40,0.456,0.66,0.689,0.000381,0.0886,-5.063,0.151,194.056,4
2PKRz9DR6lUX6zAJgW5aRV,Before You Wake Up,Before You Wake Up,Adekunle Gold,2019-03-01,174500,48,0.499,0.629,0.821,0.0,0.411,-3.4,0.17,63.59,5
3RUQ8Lu7yR9FXUkwKTDJKA,Best Friend,Are You Even Listening?,FRITOGANG,2018-06-22,229714,42,0.0438,0.802,0.442,0.0,0.12,-13.269,0.129,139.947,4
5qaUDvqjsI6lnrtEhQqMle,JUMPING SHIP,THE ANGEL YOU DON'T KNOW,Amaarae,2020-11-12,201636,50,0.151,0.758,0.601,0.00809,0.169,-7.042,0.141,126.03,4
11RIJRbBfyLlJut96itSFd,Energy (Stay Far Away),Energy (Stay Far Away),Skepta,2018-06-20,199521,68,0.345,0.836,0.614,9.86e-05,0.088,-4.543,0.311,101.97,4
6vdhXHNT6yKhheq7pxw68E,Alté Cruise,rare.,Odunsi (The Engine),2018-10-12,192309,39,0.563,0.89,0.536,0.000859,0.622,-4.794,0.123,95.02,4
0D89NuvkYKIgKTnMGQwPUy,Mixed Signals,Mixed Signals,Fasina,2019-12-06,222315,34,0.576,0.813,0.353,0.779,0.102,-10.626,0.0931,126.604,5
5SyomyWqCVD0UrdEh2IhN9,Baby This Your Body Na Gòbe Fine Fine Sweet Òkpéke,One Day You Will Understand,Mr Eazi,2020-06-10,169959,33,0.735,0.854,0.771,0.155,0.0785,-6.567,0.191,103.051,4
2OJAJkXXfuNHLElpkteLCk,FLEX,FLEX,Knox Brown,2018-09-06,225865,35,0.267,0.834,0.504,0.000534,0.119,-8.671,0.0886,100.011,4
05vU0jW7ZkWiPShxlM0OU7,Freaky,Mandy & The Jungle,Cruel Santino,2019-05-17,256365,45,0.0558,0.493,0.519,0.000137,0.105,-6.35,0.0512,109.637,5
75M9fg6c4JgX96bele7FMk,Softly,Pioneers,DRB Lasgidi,2020-05-01,224516,25,0.343,0.775,0.683,0.00016,0.525,-5.149,0.0405,93.013,4
6CJD4LDNULzE645JA2XHpx,Dumebi,Rema Compilation,Rema,2020-07-10,179775,54,0.202,0.923,0.666,0.00414,0.105,-4.97,0.0609,110.011,4
1FgJkHwXlg6pzYdueugvzB,Again,Again,Wande Coal,2020-02-05,154959,44,0.693,0.796,0.384,0.0,0.1,-10.201,0.237,95.669,4
19l8i6cV0tUIn3ON8duR4r,Too Many Women,Make E No Cause Fight 2,Ajebutter22,2019-11-29,201599,43,0.529,0.739,0.637,5.37e-05,0.172,-6.545,0.26,99.861,4
71ySrfAppuaI2p873viZJl,Golden,GOLD,Le Mav,2019-12-13,149153,29,0.284,0.64,0.626,0.0,0.178,-8.674,0.216,98.01,4
0imwtLGiD7fCyWq7SpslPl,Decided,Decided,Odunsi (The Engine),2020-04-03,180000,54,0.789,0.778,0.413,0.000158,0.106,-7.579,0.0433,96.056,4
3Xfwu3xtPqmJ4nM4jpBm8O,Damages,For Broken Ears,Tems,2020-09-25,169411,71,0.528,0.712,0.497,2.65e-05,0.125,-8.106,0.431,128.385,5
4eaQ1J85a7FE4zjmeWLpUI,Raining Outside,Mandy & The Jungle,Cruel Santino,2019-05-17,142104,40,0.376,0.75,0.502,0.245,0.132,-5.202,0.19,195.957,4
3QO1m6i0nsrp8aOnapvbkx,Blessed (feat. Damian Marley),Made In Lagos,Wizkid,2020-10-29,262973,64,0.0864,0.612,0.651,0.0,0.368,-6.974,0.281,90.272,4
0l854Wl0jJ1jzcFdrgDj9B,Ma Pariwo,Pioneers,DRB Lasgidi,2020-05-01,209126,31,0.109,0.949,0.621,0.000573,0.231,-5.834,0.13,102.985,4
6BtXtwOOy9CfpdlClUscJv,Anybody,Anybody,Burna Boy,2019-06-14,189106,30,0.0127,0.864,0.876,1.74e-05,0.0749,-2.418,0.0646,104.0,4
7jrfqHvcRvJluOlCGJU54G,Blessed,Blessed,Juls,2020-07-10,188307,54,0.143,0.829,0.433,0.00252,0.13,-11.828,0.174,130.051,4
0B3FovCVaGKS5w1FTidEUP,BROWN SKIN GIRL,The Lion King: The Gift,Beyoncé,2019-07-19,248472,65,0.049,0.603,0.602,0.0,0.279,-7.083,0.23,119.703,5
7dhiGKBm2pYVLAW4QF1z1E,The Don,The Don,System.Inc,2021-12-02,174399,35,0.134,0.859,0.768,0.00218,0.103,-8.367,0.255,127.984,4
3hr4lwTXMCFKIH5KOSoXQ5,Alakori,Alakori,Falz,2019-06-07,215700,44,0.497,0.856,0.649,0.00191,0.17,-4.679,0.213,99.969,4
3teVlSIOsmB9HYbOHqAKRV,GHOST TOWN,AFROSOUL,WurlD,2020-05-15,197327,37,0.394,0.698,0.609,0.00292,0.678,-5.658,0.208,79.028,4
7uNhQWkpAerkfGoqWCtfNK,Shayo,Diamond in the Rough,Ceeza Milli,2020-03-25,172427,45,0.691,0.772,0.411,0.000171,0.198,-12.3,0.0622,103.022,4
6vV819M5EoHUM9NGNIi7QV,Check Your Balance,Check Your Balance,Curtis J,2021-01-07,171180,30,0.247,0.797,0.661,0.0127,0.164,-7.167,0.172,108.075,4
6l5WDlZzjAXWEA47969TXI,Soweto Blues,Soweto Blues,Juls,2020-03-27,298997,53,0.00167,0.863,0.449,0.0235,0.0585,-12.521,0.0622,112.043,4
0y7JsPpdF6D75aHOZK998j,Maradona,This Is Me,Niniola,2017-10-30,191191,47,0.0411,0.913,0.642,0.0451,0.106,-6.541,0.0584,117.943,4
4VJ1lumYKZpfOytM15dkE8,Naija Pt. II,Naija Pt. II,Paxe,2019-10-20,190819,41,0.159,0.542,0.723,3.02e-05,0.102,-7.61,0.161,152.09,5
6gHUiXF4BiJ9d7biTNmdKR,The Mood,Chulo Vibes,Timaya,2019-02-08,161684,62,0.307,0.607,0.586,1.51e-06,0.287,-5.698,0.15,126.715,5
7hXYBAMe5r7AyRcmOjSN2Z,Billie Jin,Billie Jin,IDPizzle,2020-05-22,226290,40,0.3,0.799,0.476,0.0,0.101,-10.613,0.222,139.952,4
5EVEYkrTzqm3Q4ZVXXL02n,Cool Me Down (feat. Wizkid),Cool Me Down (feat. Wizkid),DJ Tunez,2020-07-28,208758,55,0.0813,0.783,0.809,0.00358,0.109,-5.689,0.0668,101.043,4
0ibShYbjMMERrW91r5VyoT,Lupita,Roots,NSG,2020-06-19,217733,54,0.324,0.75,0.492,0.000139,0.232,-6.65,0.258,98.173,4
0GScClMG7w5PZ4XCB5ViNu,London,Never Gunna Be the Same,Tomi Agape,2020-12-18,165981,57,0.0902,0.879,0.409,0.0,0.112,-13.801,0.161,99.991,4
5cn8rUjix0GZj4Tkh9TTJZ,Mmayewa,Mmayewa,Juls,2020-10-09,169230,37,0.176,0.834,0.558,1.67e-05,0.0879,-8.274,0.166,116.977,4
1Gce7Qszn5eMZRVGF8nPyF,Ohema,to your ears,Bnxn,2019-10-25,194987,42,0.52,0.912,0.588,0.0402,0.215,-9.555,0.2,95.015,4
4sCCgLTynVgwC5kwEOW1J4,Go Low,ZaZa Vibes,L.A.X,2020-11-25,173635,59,0.394,0.869,0.413,0.154,0.0816,-9.105,0.0604,112.013,4
6CJD4LDNULzE645JA2XHpx,Dumebi,Rema Compilation,Rema,2020-07-10,179775,54,0.202,0.923,0.666,0.00414,0.105,-4.97,0.0609,110.011,4
6K8SmtE4jbK0E0MHOzWIIs,Bebey,Bebey,Keeya Keys,2020-09-04,130946,46,0.0729,0.772,0.681,0.0,0.348,-7.666,0.365,67.451,4
